ticker,data_symbol,first_usable_date,last_date,usable_days,trades,status
BTC,BTC-USD,2016-11-10,2026-07-15,3534,38,OK
QQQ,QQQ,2017-01-03,2026-07-14,2394,29,OK
NVDA,NVDA,2017-01-03,2026-07-14,2394,24,OK
TSM,TSM,2017-01-03,2026-07-14,2394,26,OK
AVGO,AVGO,2017-01-03,2026-07-14,2394,22,OK
GOOGL,GOOGL,2017-01-03,2026-07-14,2394,18,OK
AMD,AMD,2017-01-03,2026-07-14,2394,18,OK
MRVL,MRVL,2017-01-03,2026-07-14,2394,29,OK
RKLB,RKLB,2021-05-18,2026-07-14,1294,14,OK
NOW,NOW,2017-01-03,2026-07-14,2394,26,OK
QCOM,QCOM,2017-01-03,2026-07-14,2394,15,OK
DELL,DELL,2017-02-07,2026-07-14,2370,28,OK
MSFT,MSFT,2017-01-03,2026-07-14,2394,30,OK
NFLX,NFLX,2017-01-03,2026-07-14,2394,14,OK
ADBE,ADBE,2017-01-03,2026-07-14,2394,21,OK
SOFI,SOFI,2021-06-24,2026-07-14,1268,13,OK
REGN,REGN,2017-01-03,2026-07-14,2394,28,OK
MA,MA,2017-01-03,2026-07-14,2394,31,OK
V,V,2017-01-03,2026-07-14,2394,31,OK
PWR,PWR,2017-01-03,2026-07-14,2394,31,OK
CEG,CEG,2022-07-12,2026-07-14,1005,13,OK
COST,COST,2017-01-03,2026-07-14,2394,20,OK
GEV,GEV,2024-09-17,2026-07-14,456,8,OK
LLY,LLY,2017-01-03,2026-07-14,2394,21,OK
SPOT,SPOT,2018-09-20,2026-07-14,1962,15,OK
TMUS,TMUS,2017-01-03,2026-07-14,2394,32,OK
ACN,ACN,2017-01-03,2026-07-14,2394,29,OK
AAPL,AAPL,2017-01-03,2026-07-14,2394,17,OK
AMZN,AMZN,2017-01-03,2026-07-14,2394,26,OK
KO,KO,2017-01-03,2026-07-14,2394,29,OK
BAC,BAC,2017-01-03,2026-07-14,2394,21,OK
AXP,AXP,2017-01-03,2026-07-14,2394,31,OK
CVX,CVX,2017-01-03,2026-07-14,2394,23,OK
XOM,XOM,2017-01-03,2026-07-14,2394,20,OK
LIN,LIN,2017-01-03,2026-07-14,2394,40,OK
NOC,NOC,2017-01-03,2026-07-14,2394,30,OK
UNH,UNH,2017-01-03,2026-07-14,2394,22,OK
MU,MU,2017-01-03,2026-07-14,2394,10,OK
SNDK,SNDK,2025-08-06,2026-07-14,235,4,OK
WDC,WDC,2017-01-03,2026-07-14,2394,28,OK
STX,STX,2017-01-03,2026-07-14,2394,25,OK
OXY,OXY,2017-01-03,2026-07-14,2394,19,OK
PBR,PBR,2017-01-03,2026-07-14,2394,16,OK
META,META,2017-01-03,2026-07-14,2394,15,OK
PLTR,PLTR,2021-03-23,2026-07-14,1333,7,OK
NBIS,NBIS,2025-04-14,2026-07-14,313,3,OK
