ticker,data_symbol,name,engine,scheme,filter,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_A_15_25_35_50,D_2560,1,-21.72%,-41.20%,-4.79%,0.00%,-23.21%,0.00%,12.00%,100.00%,-24.66%,0.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_A_15_25_35_50,D_MA25,10,-19.75%,-22.30%,1.29%,10.00%,-1.30%,10.00%,11.27%,40.00%,-8.92%,0.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_A_15_25_35_50,D_ONLY,18,-26.96%,-20.32%,3.64%,27.78%,19.27%,44.44%,55.19%,66.67%,7.07%,27.78%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_A_15_25_35_50,D_VOLUME,13,-26.09%,-17.83%,7.03%,23.08%,14.66%,38.46%,74.25%,61.54%,12.83%,23.08%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_B_20_30_40_55,D_2560,2,-21.30%,-27.40%,-4.79%,0.00%,-23.21%,0.00%,12.00%,50.00%,-24.66%,0.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_B_20_30_40_55,D_MA25,5,-23.07%,-20.96%,-6.92%,0.00%,-13.86%,0.00%,4.93%,20.00%,-7.53%,20.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_B_20_30_40_55,D_ONLY,15,-31.00%,-18.76%,2.45%,40.00%,26.30%,53.33%,56.85%,66.67%,5.62%,40.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_B_20_30_40_55,D_VOLUME,9,-31.26%,-19.36%,0.95%,33.33%,17.35%,44.44%,28.92%,55.56%,1.94%,33.33%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_C_25_35_45_60,D_MA25,3,-26.76%,-14.74%,-15.93%,0.00%,-2.00%,0.00%,2.60%,33.33%,-5.44%,0.00%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_C_25_35_45_60,D_ONLY,11,-32.97%,-17.91%,1.39%,36.36%,26.31%,63.64%,71.31%,81.82%,11.19%,45.45%
ARM,ARM,AI semiconductor stock candidate,AI基礎建設,AI_C_25_35_45_60,D_VOLUME,6,-30.69%,-16.11%,-4.42%,16.67%,12.39%,50.00%,114.11%,66.67%,11.73%,33.33%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_A_10_20_30,D_2560,1,-10.49%,-3.58%,9.02%,100.00%,5.31%,100.00%,26.63%,100.00%,29.48%,100.00%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_A_10_20_30,D_MA25,5,-10.65%,-6.27%,2.85%,60.00%,11.05%,100.00%,23.73%,100.00%,37.09%,100.00%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_A_10_20_30,D_ONLY,22,-13.82%,-6.13%,5.02%,72.73%,12.63%,86.36%,18.34%,86.36%,28.96%,86.36%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_A_10_20_30,D_VOLUME,20,-13.64%,-5.83%,4.41%,70.00%,13.23%,90.00%,19.28%,90.00%,30.10%,90.00%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_B_15_25_35,D_MA25,1,-35.16%,-0.08%,10.32%,100.00%,16.77%,100.00%,24.28%,100.00%,41.55%,100.00%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_B_15_25_35,D_ONLY,9,-20.33%,-7.70%,6.55%,77.78%,15.38%,88.89%,21.07%,77.78%,34.32%,88.89%
CNDX,CNDX.L,Nasdaq 100 UCITS ETF candidate,核心ETF代理,ETF_B_15_25_35,D_VOLUME,8,-18.48%,-8.66%,6.07%,75.00%,15.21%,87.50%,20.66%,75.00%,33.42%,87.50%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_A_10_20_30,D_2560,2,-13.39%,-10.55%,8.94%,50.00%,28.14%,50.00%,37.64%,50.00%,,0.00%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_A_10_20_30,D_MA25,8,-13.44%,-10.01%,6.64%,62.50%,17.24%,75.00%,33.89%,50.00%,41.72%,12.50%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_A_10_20_30,D_ONLY,19,-17.84%,-16.16%,2.27%,52.63%,12.05%,63.16%,21.62%,42.11%,24.22%,26.32%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_A_10_20_30,D_VOLUME,18,-17.71%,-15.49%,2.51%,55.56%,12.87%,66.67%,24.50%,44.44%,28.33%,27.78%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_B_15_25_35,D_MA25,2,-17.38%,-12.21%,5.77%,50.00%,33.95%,50.00%,65.63%,50.00%,,0.00%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_B_15_25_35,D_ONLY,11,-23.94%,-17.35%,-0.96%,54.55%,13.96%,54.55%,26.28%,45.45%,48.48%,45.45%
UFO,UFO,Space economy ETF candidate,主題ETF,ETF_B_15_25_35,D_VOLUME,10,-22.38%,-17.65%,-1.51%,50.00%,13.83%,50.00%,26.40%,40.00%,43.94%,40.00%
