ticker,group,stage,stage_reason,status,history_years,full_10y,cagr,max_drawdown,current_drawdown,sharpe,sortino,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,revenue_growth,earnings_growth,profit_margin,free_cash_flow,forward_pe,trailing_pe,error,years_available,revenue_cagr,operating_income_cagr,net_income_cagr,fcf_cagr,revenue_positive_year_rate,fcf_positive_year_rate,latest_operating_margin,latest_net_margin,latest_fcf_margin,latest_total_debt,latest_cash,net_cash,trailing_pe_fund,forward_pe_fund,price_to_book,enterprise_to_ebitda,revenue_growth_snapshot,earnings_growth_snapshot,fundamental_score,quality_points,backtest_points,valuation_risk,post_entry_drawdown_risk,decision,current_drawdown_snapshot,decision_order
NOW,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.2234432697956356,-0.6454173439572124,-0.5525850270160052,0.6497359136983476,0.9029014808937416,0.6,0.6,0.1585476322111836,0.0827846742843904,20.0,0.3106550765370217,0.7,0.4525277995820634,0.7,-0.1632065805317614,STRONG_RESEARCH_CANDIDATE,0.221,0.023,0.12586,5108125184.0,20.852665,62.33929,,5,0.2237651786474261,0.7255683256835277,0.7520749850690194,0.2777385491478457,1.0,1.0,0.1373700858563036,0.1316463322789576,0.3413917758698599,2403000000.0,6284000000.0,3881000000.0,62.33929,20.852665,9.209462,36.447,0.221,0.023,57.19121348486542,7,7,LOW,MEDIUM,PAPER_TRADE_QUALITY_DISCOUNT,-0.5525850270160052,1
MSFT,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.2358287711403202,-0.3714848723012369,-0.2655273165512836,0.8434358046061818,1.153196286243728,0.6,0.6,0.0976395775628052,0.021876619636012,5.0,0.2686811585426698,0.6,0.4220720069522423,0.8,-0.0645182901500044,STRONG_RESEARCH_CANDIDATE,0.183,0.234,0.39341998,37011251200.0,20.421362,22.935072,,4,0.1242311465286305,0.1551545092373574,0.1186845478628655,0.0320260542058479,1.0,0.3333333333333333,0.4562195624085985,0.3614601524896707,0.2541884965427156,60588000000.0,94555000000.0,33967000000.0,22.935072,20.421362,7.093067,16.189,0.183,0.234,35.882298164573,6,5,LOW,LOW,WAIT_FOR_BETTER_PRICE,-0.2655273165512836,3
PWR,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.3843395638511921,-0.4553337555986673,-0.1735785861397373,1.0728402459389537,1.5162779465741254,0.8,0.6,0.2155362384983098,0.1397732805715167,11.0,0.3968433100571198,0.9090909090909092,0.8332754275545796,0.9090909090909092,-0.1257988851925079,STRONG_RESEARCH_CANDIDATE,0.263,0.51,0.036679998,1037176768.0,39.390816,90.873955,,5,0.1859531097667603,0.2370008095100897,0.2792871815808562,0.3212701660051393,1.0,1.0,0.0557266111363474,0.0361091622568877,0.0569112796389652,6418954000.0,439508000.0,-5979446000.0,90.873955,39.390816,10.764841,38.892,0.263,0.51,45.03312943410543,5,9,HIGH,LOW,WAIT_FOR_BETTER_PRICE,-0.1735785861397373,3
AXP,WATCHLIST_2,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.20471201473897,-0.4963850232104346,-0.0611385029421549,0.6818125392128764,0.9366321323764192,0.8,0.5,0.0486971358355558,-0.0270658220912374,7.0,0.194591694981649,0.8571428571428571,0.4792242290658829,1.0,-0.1354543385900953,STRONG_RESEARCH_CANDIDATE,0.116,0.176,0.16305,,17.772102,22.166975,,5,0.1096636032642015,,0.1296897391921556,-0.0592969564410076,1.0,0.3333333333333333,,0.1499792330056763,0.2215561401079883,57759000000.0,47708000000.0,-10051000000.0,22.166975,17.772102,7.190948,,0.116,0.176,27.346387689600565,3,6,LOW,LOW,CONTINUE_REVIEW,-0.0611385029421549,4
AAPL,WATCHLIST_2,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.3061091169244294,-0.3851591729802794,0.0,0.9977632971845956,1.3738210665852038,0.7,0.7,0.1747350236612445,0.0989720657344513,15.0,0.2598377829753844,0.8,0.4538421964720305,0.9333333333333332,-0.0958704787933027,STRONG_RESEARCH_CANDIDATE,0.166,0.218,0.27152002,101090746368.0,34.04044,38.170162,,5,0.0181253574347939,0.0366337181752933,0.039212592033254,-0.0394506348716261,0.6666666666666666,0.3333333333333333,0.3197079976259188,0.2691506412181824,0.2373288222586931,98657000000.0,54697000000.0,-43960000000.0,38.170162,34.04044,45.11019,30.169,0.166,0.218,20.490715407720494,2,9,MEDIUM,LOW,CONTINUE_REVIEW,0.0,4
DELL,WATCHLIST_1,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.908281998631075,True,0.4419723386661196,-0.5958773867569922,-0.1143445784109415,1.0020483866947918,1.3981691153669955,0.7,0.7,0.3618261599070332,0.2860632019802401,16.0,0.2663052999765851,0.625,0.4683902895839166,0.625,-0.2000590253354545,STRONG_RESEARCH_CANDIDATE,0.875,2.825,0.062750004,5434124800.0,19.197838,36.48806,,5,0.0353498388848534,0.1353593327892468,0.3445679168903122,1.4780522476860227,0.6666666666666666,0.6666666666666666,0.0743891912839754,0.0522820553471084,0.0753227994151737,31503000000.0,11528000000.0,-19975000000.0,36.48806,19.197838,-190.79056,20.462,0.875,2.825,35.44356515192495,3,8,LOW,MEDIUM,CYCLE_WATCH_ONLY,-0.1143445784109415,5
WDC,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.3100898412642097,-0.7049293695592058,-0.311418677479701,0.7558626537687693,1.05195945015612,0.4,0.4,0.4050181831432398,0.3292552252164465,26.0,0.2579545153874486,0.5,1.0065570442039953,0.6923076923076923,-0.255947584021401,WATCH,0.455,4.829,0.55286,2075000064.0,27.704634,33.672348,,4,-0.2028373451127182,-0.043496985278945,0.0637648304727716,0.1905120062935703,0.6666666666666666,0.6666666666666666,0.2237394957983193,0.1954831932773109,0.1343487394957983,4711000000.0,2114000000.0,-2597000000.0,33.672348,27.704634,24.568014,44.704,0.455,4.829,22.121518644734216,3,5,MEDIUM,HIGH,CYCLE_WATCH_ONLY,-0.311418677479701,5
STX,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.4525009512511766,-0.569918360117287,-0.2423580754333133,1.051379213114934,1.4518607198227038,0.6,0.5,0.4647888032672708,0.3890258453404776,23.0,0.5060734232079344,0.782608695652174,1.0259822783515742,0.8260869565217391,-0.1909998792919469,STRONG_RESEARCH_CANDIDATE,0.441,1.083,0.21599,1610000000.0,29.083597,83.32998,,4,-0.0794356906329795,-0.0073746466834803,-0.0377962465259701,-0.1377480012465475,0.3333333333333333,0.6666666666666666,0.2105089589974716,0.1614818071891832,0.0899197537649774,4995000000.0,891000000.0,-4104000000.0,83.32998,29.083597,169.7336,53.717,0.441,1.083,11.421223093971363,1,8,MEDIUM,MEDIUM,CYCLE_WATCH_ONLY,-0.2423580754333133,5
MU,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.5289202324305355,-0.5762896906272803,-0.2547388796025737,1.0529970785666003,1.5863473727319295,0.6,0.5,0.5232409297845448,0.4474779718577515,33.0,0.184431452508611,0.4545454545454545,0.2205661773433753,0.3333333333333333,-0.2819964838799129,WATCH,3.457,13.685,0.55906,7639499776.0,6.0098834,22.223644,,5,0.0671348972693626,0.0034215204817411,-0.0057115435451948,-0.18786951546609,0.6666666666666666,0.6666666666666666,0.2624270961528172,0.2284498903098079,0.0446251805875113,15278000000.0,10307000000.0,-4971000000.0,22.223644,6.0098834,14.077246,14.682,3.457,13.685,18.43293854611641,1,5,LOW,HIGH,CYCLE_WATCH_ONLY,-0.2547388796025737,5
